,deep left,deep middle,deep right,short left,short middle,short right
1,Michael Floyd,John Brown,John Brown,Larry Fitzgerald,Larry Fitzgerald,Larry Fitzgerald
2,Julio Jones,Julio Jones,Julio Jones,Julio Jones,Julio Jones,Julio Jones
3,Kamar Aiken,Crockett Gillmore,Kamar Aiken,Kamar Aiken,Justin Forsett,Steve Smith
4,Sammy Watkins,Sammy Watkins,Sammy Watkins,LeSean McCoy,Charles Clay,Robert Woods
5,Ted Ginn,Ted Ginn,Corey Brown,Ted Ginn,Greg Olsen,Greg Olsen
6,Alshon Jeffery,Marc Mariani,Alshon Jeffery,Martellus Bennett,Alshon Jeffery,Alshon Jeffery
7,A.J. Green,Mohamed Sanu,A.J. Green,A.J. Green,Tyler Eifert,A.J. Green
8,Travis Benjamin,Travis Benjamin,Travis Benjamin,Gary Barnidge,Gary Barnidge,Travis Benjamin
9,Dez Bryant,Dez Bryant,Terrance Williams,Jason Witten,Jason Witten,Jason Witten
10,Demaryius Thomas,Emmanuel Sanders,Emmanuel Sanders,Demaryius Thomas,Demaryius Thomas,Demaryius Thomas
11,Calvin Johnson,Calvin Johnson,Calvin Johnson,Calvin Johnson,Golden Tate,Golden Tate
12,James Jones,Randall Cobb,James Jones,Randall Cobb,Randall Cobb,Randall Cobb
13,DeAndre Hopkins,DeAndre Hopkins,DeAndre Hopkins,DeAndre Hopkins,DeAndre Hopkins,DeAndre Hopkins
14,T.Y. Hilton,Donte Moncrief,T.Y. Hilton,Donte Moncrief,Donte Moncrief,T.Y. Hilton
15,Allen Robinson,Allen Hurns,Allen Robinson,Julius Thomas,Julius Thomas,Allen Robinson
16,Jeremy Maclin,Jeremy Maclin,Jeremy Maclin,Jeremy Maclin,Travis Kelce,Jeremy Maclin
17,Jarvis Landry,Jarvis Landry,Kenny Stills,Jarvis Landry,Jarvis Landry,Jarvis Landry
18,Stefon Diggs,Mike Wallace,Mike Wallace,Stefon Diggs,Kyle Rudolph,Kyle Rudolph
19,Brandon LaFell,Rob Gronkowski,Rob Gronkowski,Rob Gronkowski,Danny Amendola,Rob Gronkowski
20,Brandin Cooks,Brandin Cooks,Brandin Cooks,Willie Snead,Benjamin Watson,Brandin Cooks
21,Odell Beckham,Odell Beckham,Odell Beckham,Odell Beckham,Odell Beckham,Odell Beckham
22,Brandon Marshall,Eric Decker,Brandon Marshall,Brandon Marshall,Eric Decker,Brandon Marshall
23,Amari Cooper,Michael Crabtree,Amari Cooper,Amari Cooper,Michael Crabtree,Michael Crabtree
24,Zach Ertz,Jordan Matthews,Jordan Matthews,Darren Sproles,Jordan Matthews,Darren Sproles
25,Antonio Brown,Antonio Brown,Antonio Brown,Antonio Brown,Heath Miller,Antonio Brown
26,Malcom Floyd,Malcom Floyd,Malcom Floyd,Danny Woodhead,Antonio Gates,Danny Woodhead
27,Jermaine Kearse,Doug Baldwin,Tyler Lockett,Doug Baldwin,Jimmy Graham,Doug Baldwin
28,Torrey Smith,Torrey Smith,Quinton Patton,Anquan Boldin,Anquan Boldin,Anquan Boldin
29,Kenny Britt,Kenny Britt,Kenny Britt,Tavon Austin,Jared Cook,Tavon Austin
30,Mike Evans,Mike Evans,Mike Evans,Mike Evans,Mike Evans,Mike Evans
31,Harry Douglas,Delanie Walker,Dorial Green-Beckham,Delanie Walker,Delanie Walker,Delanie Walker
32,Pierre Garcon,Pierre Garcon,DeSean Jackson,Pierre Garcon,Jordan Reed,Jordan Reed
