id,team_name,off_sl_yards,off_sm_yards,off_sr_yards,off_ll_yards,off_lm_yards,off_lr_yards,def_sl_yards,def_sm_yards,def_sr_yards,def_ll_yards,def_lm_yards,def_lr_yards
1,ARI,9.43,10.90,11.39,26.00,23.85,36.00,8.25,11.56,8.63,29.47,29.58,32.75
2,ATL,8.63,11.34,9.09,26.77,23.93,32.00,9.11,9.75,8.67,27.89,20.33,23.67
3,BAL,7.65,8.82,7.68,27.91,22.50,27.65,7.21,9.90,8.14,34.92,32.33,29.50
4,BUF,9.26,8.41,8.43,29.28,33.00,32.90,8.92,11.15,8.81,29.83,25.05,28.64
5,CAR,9.74,11.84,8.92,29.48,29.14,31.00,8.02,10.03,7.56,30.42,25.38,31.10
6,CHI,9.37,10.92,8.86,31.58,25.57,29.33,8.60,14.21,8.46,35.20,23.83,31.82
7,CIN,8.60,11.35,7.81,31.86,26.00,28.37,7.99,10.01,8.45,25.31,21.56,26.57
8,CLE,7.50,11.51,9.00,31.89,38.67,22.92,10.03,13.58,9.01,28.20,21.50,35.59
9,DAL,8.66,10.67,8.70,33.44,20.33,25.75,8.77,11.88,8.13,26.93,20.00,35.18
10,DEN,8.26,11.03,8.61,25.45,25.10,32.73,7.66,9.95,8.59,29.90,23.58,29.50
11,DET,8.34,10.76,8.65,30.92,24.33,32.00,8.66,11.35,7.54,27.00,24.79,30.00
12,GB,9.22,9.95,7.98,31.17,30.27,28.50,8.44,11.30,9.08,34.60,32.54,28.00
13,HOU,8.68,9.90,9.44,23.47,37.29,28.44,9.65,10.39,7.73,25.50,28.17,26.29
14,IND,7.95,9.44,9.30,30.48,23.88,27.27,9.69,10.88,8.31,27.05,29.82,35.63
15,JAC,8.05,10.85,7.86,30.59,23.72,31.58,8.31,10.75,9.30,32.08,24.62,26.89
16,KC,9.24,11.56,9.29,30.86,27.83,26.50,8.96,10.64,7.92,28.30,27.25,27.94
17,MIA,9.31,9.95,8.52,33.30,23.58,31.18,9.22,9.87,8.68,31.38,28.50,25.15
18,MIN,9.12,11.44,8.12,24.83,27.50,22.83,7.84,10.68,9.20,32.25,29.00,36.56
19,NE,9.66,12.02,8.45,28.91,31.46,35.00,8.69,9.95,7.61,26.33,22.67,31.54
20,NO,8.27,10.40,7.54,30.83,29.42,29.05,9.29,10.37,10.23,44.06,22.31,29.31
21,NYG,9.04,11.32,8.01,24.00,33.38,45.90,9.58,10.32,8.66,27.78,33.50,26.29
22,NYJ,9.81,9.94,8.80,27.11,23.00,23.65,9.15,10.90,8.94,26.22,32.09,27.71
23,OAK,8.09,10.68,7.92,31.00,28.07,26.88,8.97,10.59,8.22,28.79,20.38,31.91
24,PHI,7.99,10.07,8.42,26.17,36.11,33.09,7.67,11.00,9.85,25.48,21.00,28.29
25,PIT,7.71,11.19,7.98,30.65,28.00,32.84,8.15,10.33,9.40,25.39,26.93,27.50
26,SD,8.41,10.26,9.77,26.83,32.75,23.56,10.33,9.64,9.93,26.47,25.43,30.85
27,SEA,8.69,11.26,9.73,31.13,24.83,29.87,7.53,9.53,8.41,30.05,30.22,26.92
28,SF,7.93,11.00,8.41,32.08,38.00,36.33,8.04,10.53,7.88,28.92,31.14,29.65
29,STL,8.38,11.18,6.91,38.78,31.33,25.73,8.60,11.78,8.38,27.33,25.17,25.33
30,TB,10.32,12.45,9.65,25.41,24.08,23.45,7.85,10.16,9.12,27.57,24.09,23.73
31,TEN,9.49,10.98,8.81,29.25,24.50,24.86,9.67,11.48,9.12,25.82,32.55,30.39
32,WAS,7.80,10.28,8.50,26.42,24.00,26.82,9.70,10.57,8.31,29.33,38.00,28.80
